what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460446061623
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460446863667
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460446941199
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1460446941231
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460446946285
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460447219774
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1460447219821
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460447835055
error,log,,,"New Project Wizard failed",1460447853743
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460447863743
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1460447863805
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460447884086
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460447894944
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460447899702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460447944833
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1460447944849
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460447948562
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460447950621
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460447950902
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1460447951245
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1460447951728
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1460447951744
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1460447952711
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1460447952711
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1460447952774
